# slave_1_address (ip:port), slave_2_address (ip:port), min_rtt (ns)
10.140.0.126:9103,10.140.0.104:9103,89177
10.140.0.104:9103,10.140.0.117:9103,89191
10.140.0.122:9103,10.140.0.103:9103,89209
10.140.0.109:9103,10.140.0.126:9103,89210
10.140.0.109:9103,10.140.0.102:9103,89262
10.140.0.122:9103,10.140.0.107:9103,89375
10.140.0.122:9103,10.140.0.105:9103,89399
10.140.0.105:9103,10.140.0.103:9103,89427
10.140.0.106:9103,10.140.0.125:9103,89447
10.140.0.125:9103,10.140.0.105:9103,89736
10.140.0.103:9103,10.140.0.121:9103,89760
10.140.0.129:9103,10.140.0.130:9103,89769
10.140.0.105:9103,10.140.0.104:9103,89862
10.140.0.127:9103,10.140.0.128:9103,89906
10.140.0.106:9103,10.140.0.121:9103,89914
10.140.0.124:9103,10.140.0.126:9103,89981
10.140.0.129:9103,10.140.0.124:9103,89988
10.140.0.102:9103,10.140.0.123:9103,90004
10.140.0.128:9103,10.140.0.127:9103,90026
10.140.0.129:9103,10.140.0.112:9103,90061
10.140.0.127:9103,10.140.0.124:9103,90072
10.140.0.123:9103,10.140.0.107:9103,90073
10.140.0.124:9103,10.140.0.127:9103,90123
10.140.0.130:9103,10.140.0.105:9103,90220
10.140.0.125:9103,10.140.0.128:9103,90271
10.140.0.107:9103,10.140.0.105:9103,90348
10.140.0.104:9103,10.140.0.105:9103,90354
10.140.0.123:9103,10.140.0.106:9103,90401
10.140.0.104:9103,10.140.0.121:9103,90516
10.140.0.123:9103,10.140.0.101:9103,90550
10.140.0.121:9103,10.140.0.128:9103,90567
10.140.0.107:9103,10.140.0.130:9103,90568
10.140.0.124:9103,10.140.0.125:9103,90632
10.140.0.121:9103,10.140.0.129:9103,90665
10.140.0.105:9103,10.140.0.121:9103,90671
10.140.0.121:9103,10.140.0.124:9103,90749
10.140.0.107:9103,10.140.0.126:9103,90829
10.140.0.103:9103,10.140.0.104:9103,90836
10.140.0.101:9103,10.140.0.128:9103,90837
10.140.0.109:9103,10.140.0.122:9103,90843
10.140.0.107:9103,10.140.0.108:9103,90876
10.140.0.123:9103,10.140.0.102:9103,90917
10.140.0.103:9103,10.140.0.123:9103,90962
10.140.0.103:9103,10.140.0.122:9103,91047
10.140.0.125:9103,10.140.0.129:9103,91127
10.140.0.126:9103,10.140.0.107:9103,91274
10.140.0.101:9103,10.140.0.121:9103,91315
10.140.0.107:9103,10.140.0.125:9103,91347
10.140.0.102:9103,10.140.0.103:9103,91393
10.140.0.130:9103,10.140.0.106:9103,91422
10.140.0.106:9103,10.140.0.104:9103,91482
10.140.0.109:9103,10.140.0.125:9103,91496
10.140.0.123:9103,10.140.0.127:9103,91510
10.140.0.123:9103,10.140.0.109:9103,91632
10.140.0.111:9103,10.140.0.101:9103,91740
10.140.0.125:9103,10.140.0.123:9103,91918
10.140.0.103:9103,10.140.0.126:9103,91926
10.140.0.106:9103,10.140.0.123:9103,92067
10.140.0.128:9103,10.140.0.109:9103,92095
10.140.0.130:9103,10.140.0.127:9103,92127
10.140.0.126:9103,10.140.0.123:9103,92235
